Run Count Download - Upload - PING Record Time
278 195.041 Mbps - 154.295 Mbps - 11.626 2023-09-26 15:18:19.840305
279 272.298 Mbps - 236.118 Mbps - 11.626 2023-09-26 15:19:20.349673
280 251.165 Mbps - 239.44 Mbps - 11.626 2023-09-26 15:20:20.772730
281 259.536 Mbps - 235.39 Mbps - 11.626 2023-09-26 15:21:21.318280
282 264.365 Mbps - 238.845 Mbps - 11.626 2023-09-26 15:22:21.737112
283 272.947 Mbps - 243.752 Mbps - 11.626 2023-09-26 15:23:22.099538
284 266.951 Mbps - 238.278 Mbps - 11.626 2023-09-26 15:24:22.560830
285 253.787 Mbps - 234.12 Mbps - 11.626 2023-09-26 15:25:23.150204
286 400.983 Mbps - 262.063 Mbps - 11.626 2023-09-26 15:26:21.277861
287 258.783 Mbps - 250.687 Mbps - 11.626 2023-09-26 15:27:21.497740
288 391.859 Mbps - 259.471 Mbps - 11.626 2023-09-26 15:28:19.846776
289 669.438 Mbps - 227.071 Mbps - 11.626 2023-09-26 15:29:15.587461
290 239.305 Mbps - 245.011 Mbps - 11.626 2023-09-26 15:30:15.894802
291 190.537 Mbps - 241.322 Mbps - 11.626 2023-09-26 15:31:16.338659
292 260.268 Mbps - 244.284 Mbps - 11.626 2023-09-26 15:32:16.679291
293 263.353 Mbps - 245.668 Mbps - 11.626 2023-09-26 15:33:16.987092
294 250.775 Mbps - 220.851 Mbps - 11.626 2023-09-26 15:34:17.843845
295 250.729 Mbps - 244.992 Mbps - 11.626 2023-09-26 15:35:18.243481
296 243.207 Mbps - 240.598 Mbps - 11.626 2023-09-26 15:36:18.622793
297 240.212 Mbps - 239.095 Mbps - 11.626 2023-09-26 15:37:19.097817
298 257.211 Mbps - 245.207 Mbps - 11.626 2023-09-26 15:38:19.432814
299 258.118 Mbps - 245.177 Mbps - 11.626 2023-09-26 15:39:19.725632
300 235.178 Mbps - 245.752 Mbps - 11.626 2023-09-26 15:40:20.093088
301 251.885 Mbps - 206.824 Mbps - 11.626 2023-09-26 15:41:21.667324
302 250.908 Mbps - 238.787 Mbps - 11.626 2023-09-26 15:42:22.129857
303 249.431 Mbps - 236.805 Mbps - 11.626 2023-09-26 15:43:22.594779
304 249.16 Mbps - 240.237 Mbps - 11.626 2023-09-26 15:44:22.976625
305 255.392 Mbps - 241.404 Mbps - 11.626 2023-09-26 15:45:23.347016
306 235.52 Mbps - 237.693 Mbps - 11.626 2023-09-26 15:46:23.916266
307 288.779 Mbps - 240.913 Mbps - 11.626 2023-09-26 15:47:24.407162
308 239.716 Mbps - 237.331 Mbps - 11.626 2023-09-26 15:48:24.917837
309 250.335 Mbps - 243.91 Mbps - 11.626 2023-09-26 15:49:25.228307
310 253.18 Mbps - 246.058 Mbps - 11.626 2023-09-26 15:50:25.559979
311 240.69 Mbps - 234.75 Mbps - 11.626 2023-09-26 15:51:26.087584
312 286.728 Mbps - 246.33 Mbps - 11.626 2023-09-26 15:52:26.371878
313 270.484 Mbps - 246.065 Mbps - 11.626 2023-09-26 15:53:26.631412
314 256.35 Mbps - 238.202 Mbps - 11.626 2023-09-26 15:54:27.142342
315 184.153 Mbps - 180.61 Mbps - 11.626 2023-09-26 15:55:29.408815
316 182.96 Mbps - 30.478 Mbps - 11.626 2023-09-26 15:56:55.444756
317 609.179 Mbps - 264.55 Mbps - 11.626 2023-09-26 15:57:50.925068
318 656.669 Mbps - 266.159 Mbps - 11.626 2023-09-26 15:58:45.798615
319 629.403 Mbps - 264.022 Mbps - 11.626 2023-09-26 15:59:40.923863
320 596.36 Mbps - 264.645 Mbps - 11.626 2023-09-26 16:00:36.372146
321 612.459 Mbps - 202.69 Mbps - 11.626 2023-09-26 16:01:33.272280
322 667.404 Mbps - 266.301 Mbps - 11.626 2023-09-26 16:02:28.214362
323 640.147 Mbps - 263.144 Mbps - 11.626 2023-09-26 16:03:23.322458
324 641.282 Mbps - 266.171 Mbps - 11.626 2023-09-26 16:04:18.291024
325 631.103 Mbps - 265.387 Mbps - 11.626 2023-09-26 16:05:13.381766
326 558.362 Mbps - 262.176 Mbps - 11.626 2023-09-26 16:06:09.252121
327 668.292 Mbps - 265.859 Mbps - 11.626 2023-09-26 16:07:04.039365
328 654.141 Mbps - 259.967 Mbps - 11.626 2023-09-26 16:07:59.212194
329 665.23 Mbps - 265.447 Mbps - 11.626 2023-09-26 16:08:54.045922
